Song_name,Cluster label,artist popularity,popularity,valence,danceability,modes,India,Mexico,Sweden,USA,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
Tu Aake Dekhle,3,66,79,0.192,0.77,1,1,0,0,0,"[[0.0000000e+00 1.4999574e-11 3.3841457e-04 ... 3.7062838e-04
  1.0194957e-04 1.9839455e-04]
 [0.0000000e+00 2.5191748e-12 1.0713240e-03 ... 1.9256232e-03
  1.9252187e-03 1.0846929e-03]
 [0.0000000e+00 5.2054485e-12 1.4206273e-03 ... 1.4878352e-01
  6.4404085e-02 3.9768778e-02]
 ...
 [0.0000000e+00 8.5531434e-12 1.0259528e-09 ... 3.2691043e-09
  2.4438092e-09 2.9615543e-09]
 [0.0000000e+00 8.0945571e-12 1.0783672e-09 ... 3.2723331e-09
  3.3709118e-09 2.7715006e-09]
 [0.0000000e+00 8.2592613e-12 1.8650808e-09 ... 3.4354555e-09
  2.6602847e-09 2.7848857e-09]]",0.044757407,0.0024992472,1478.7535106622984,599588.0933259684,0.031420066998839,0.0001182920176646,30.0,120.18531976744184
Levels,5,80,79,0.577,0.592,1,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.6781705e-02
  6.3811794e-02 7.6184191e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.0393109e+00
  1.8852212e+00 2.1280699e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2895529e+00
  1.2268217e+00 1.3530014e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6546565e-09
  1.1072345e-08 1.0231579e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2319443e-09
  2.7197513e-09 3.1971557e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2090441e-09
  2.4811910e-09 3.9886139e-09]]",0.07301736,0.002673421,3751.384766895876,3335094.770505804,0.1118681822029798,0.0045324439369322,30.0,114.84375
As It Was,1,93,94,0.662,0.52,0,1,0,0,0,"[[4.63303115e-13 8.96589331e-11 5.82556725e-10 ... 2.33262062e+00
  1.55895936e+00 5.45753539e-01]
 [1.59893398e-12 6.18175372e-11 3.01428119e-11 ... 6.16250086e+00
  6.51968241e+00 3.37673807e+00]
 [7.24926304e-13 1.62934631e-11 1.04391894e-11 ... 5.11856079e+01
  1.10709221e+02 1.11597496e+02]
 ...
 [1.09190706e-12 2.73889071e-11 1.84960061e-10 ... 2.92756730e-09
  2.75463163e-09 3.06532755e-09]
 [1.09295418e-12 2.33765941e-11 2.08395134e-10 ... 2.70481371e-09
  3.64335317e-09 3.62468411e-09]
 [1.09234616e-12 3.21861288e-11 1.89484983e-10 ... 3.03982683e-09
  3.36387740e-09 3.02004510e-09]]",0.27400434,0.021985978,2700.140608889901,2759529.625582462,0.0475280572755417,0.0013018065685223,30.0,114.84375
WE ROLLIN,3,68,79,0.278,0.816,0,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 8.1175690e+01
  8.5075729e+01 8.4066551e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.3712262e+02
  6.5156616e+02 6.1696649e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.7563411e+02
  1.8925385e+02 1.7283159e+02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5004236e-09
  3.6314307e-09 2.7468405e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6629343e-09
  3.0152350e-09 2.3996536e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0469034e-09
  4.0768491e-09 2.1526028e-09]]",0.106760494,0.012041028,1608.411356013556,1287154.0786900276,0.0332821116727941,0.0008318016756386,30.0,84.72079918032787
Bhool Bhulaiyaa 2 Title Track,5,82,67,0.845,0.857,0,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.4695544e+02
  1.7495401e+02 1.7150122e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.0060533e+03
  1.9097170e+03 1.9502135e+03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.6446671e+02
  1.4149000e+03 3.0250928e+03]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.3229084e-05
  6.3305582e-05 6.2436397e-05]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.3369983e-05
  6.2948136e-05 1.9636951e-05]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5609299e-05
  6.2983374e-05 1.0564316e-05]]",0.17648962,0.025768265,3997.7645767418353,4338929.248932369,0.1173821322320046,0.0101911308812453,30.0,107.666015625
Heat Waves,3,80,91,0.531,0.761,1,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.5479393e-01
  6.6582787e-01 1.0950622e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4016559e+00
  4.1306205e+00 4.3336487e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.1802227e+01
  9.6410660e+01 1.7144359e+02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.9857232e-07
  3.5155634e-09 2.9657865e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1201147e-06
  3.4560239e-09 4.6192836e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.7547179e-07
  3.3315768e-09 3.5992771e-09]]",0.14971617,0.0320349,1426.473047008275,1339520.1455247588,0.0280916668682275,0.0005549719641667,30.0,161.4990234375
"Raataan Lambiyan (From ""Shershaah"")",3,75,78,0.512,0.72,1,1,0,0,0,"[[2.0830902e-12 3.4298267e-10 2.5876542e-04 ... 1.7687707e+00
  1.8779460e+00 2.0667364e-01]
 [2.8230671e-12 8.3750243e-11 1.0257481e-03 ... 9.4446154e+00
  7.7898750e+00 3.3936601e+00]
 [1.3017291e-12 2.0994890e-11 5.8675912e-04 ... 1.3421505e+01
  1.0806012e+01 4.5554957e+00]
 ...
 [2.9868666e-12 1.7356867e-10 4.2239803e-09 ... 1.1745738e-05
  1.0501232e-08 3.2863705e-09]
 [3.0205875e-12 1.5731215e-10 2.6568725e-09 ... 2.3040258e-05
  1.1897928e-08 2.4828186e-09]
 [2.9907934e-12 1.6900523e-10 2.4643700e-09 ... 1.9632011e-05
  1.3288741e-08 2.3433870e-09]]",0.28065747,0.015222206,2992.1005332354543,1742559.40299674,0.0492650082236842,0.0015535110445972,30.0,107.666015625
"Maiyya Mainu (From ""Jersey"")",3,64,78,0.224,0.63,1,1,0,0,0,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.36211053e-01
  4.74362485e-02 2.23463997e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.43093863e-01
  1.55550107e-01 1.00091316e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.16692044e-01
  6.24505170e-02 4.76564467e-02]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.01752245e-09
  2.59588040e-09 3.77489195e-09]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.47548568e-09
  3.85667986e-09 3.48577966e-09]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.86946519e-09
  2.90531998e-09 2.42785125e-09]]",0.07418762,0.010334928,2382.3167145066395,2167301.304283354,0.0555843199738777,0.0030934272796047,30.0,109.9567819148936
Glimpse of Us,3,86,99,0.268,0.44,1,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.6564884e+00
  3.1504326e+00 1.3301365e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.0692687e+00
  6.4732094e+00 6.7327768e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.7661166e-01
  1.0728468e+00 3.2212341e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2244041e-09
  2.7233575e-09 3.6747554e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.7787908e-09
  3.5242036e-09 3.2569945e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5054616e-09
  2.1077518e-09 2.4460949e-09]]",0.06254078,0.0024837682,1384.6959892362925,891368.9565750625,0.0270723986551857,0.0007378654560467,30.0,120.18531976744184
Jhoom - R&B Mix,3,61,75,0.617,0.662,1,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1637386e+02
  1.1764354e+02 3.0594019e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9007755e+02
  2.6486575e+02 6.4244003e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.9398178e+01
  2.7650724e+01 5.9792666e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2945731e-09
  4.6541468e-09 6.2838531e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6807654e-09
  3.5521626e-09 3.3020899e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.1841033e-09
  3.0370002e-09 2.2297195e-09]]",0.08153314,0.0053621754,2765.2656912145685,3817570.865567804,0.0468670635400541,0.0022725185481883,30.0,80.74951171875
