,Song_name,Cluster label,artist popularity,popularity,valence,danceability,modes,India,Mexico,Sweden,USA
76,Dime,2,77,70,0.961,0.7959999999999999,1,0,1,0,0
77,Y Me Da Vergüenza,2,67,84,0.965,0.696,0,0,1,0,0
78,En El Radio Un Cochinero,2,52,71,0.965,0.877,0,0,1,0,0
79,Una Raya Más al Tigre,2,77,69,0.9570000000000001,0.645,1,0,1,0,0
80,Corazón Mágico,5,100,98,0.187,0.65,0,0,1,0,0
81,Tití Me Preguntó,5,83,83,0.5770000000000001,0.701,0,0,1,0,0
82,Ferxxo 100,5,100,100,0.425,0.9109999999999999,0,0,1,0,0
83,Me Porto Bonito,2,70,69,0.55,0.41200000000000003,1,0,1,0,0
84,this is what falling in love feels like - Leon Leiden Remix,5,74,80,0.0668,0.43,1,0,1,0,0
85,Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,2,77,70,0.9590000000000001,0.7170000000000001,1,0,1,0,0
86,Y Tú - Ranchera,5,81,86,0.423,0.82,0,0,1,0,0
87,"Villano Antillano: Bzrp Music Sessions, Vol. 51",2,77,69,0.6990000000000001,0.627,1,0,1,0,0
88,A Dónde Quiera Que Vaya,2,49,68,0.89,0.937,1,0,1,0,0
89,No tienes motivacion,2,42,60,0.825,0.866,1,0,1,0,0
90,Por Ti,5,100,96,0.23399999999999999,0.8009999999999999,0,0,1,0,0
91,Efecto,2,81,59,0.8109999999999999,0.486,1,0,1,0,0
92,Yo Más Te Adoro,2,77,69,0.961,0.7609999999999999,1,0,1,0,0
93,Olvídame,2,50,68,0.862,0.8059999999999999,1,0,1,0,0
94,Serafín Zambada,2,77,67,0.9620000000000001,0.6920000000000001,1,0,1,0,0
95,Ni Lo Intentes,5,65,82,0.213,0.4,0,0,1,0,0
96,Atlantis,2,77,68,0.642,0.639,1,0,1,0,0
97,Decide Tú,5,70,87,0.304,0.5660000000000001,1,0,1,0,0
98,Only Love Can Hurt Like This,2,77,63,0.856,0.741,1,0,1,0,0
99,X,6,62,74,0.946,0.8540000000000001,0,0,0,1,0
100,Running Up That Hill (A Deal With God),0,82,97,0.19699999999999998,0.629,0,0,0,1,0
101,MISSFÖRSTÅTT,6,53,71,0.818,0.8240000000000001,1,0,0,1,0
102,As It Was,0,93,94,0.662,0.52,0,0,0,1,0
103,BUBBEL PÅ BALKONGEN,6,52,68,0.72,0.7140000000000001,0,0,0,1,0
104,Go,6,53,63,0.9209999999999999,0.8009999999999999,0,0,0,1,0
105,FAKKA UR,6,59,71,0.722,0.94,1,0,0,1,0
106,Words (feat. Zara Larsson),0,75,83,0.444,0.7390000000000001,0,0,0,1,0
107,Syrener,6,56,75,0.358,0.643,0,0,0,1,0
108,Lilla Nisse,6,67,72,0.47200000000000003,0.7120000000000001,1,0,0,1,0
109,Vi:et i vinsten (Sveriges Officiella EM-låt 2022),6,60,67,0.7490000000000001,0.7040000000000001,1,0,0,1,0
110,Koppla av,6,67,71,0.47100000000000003,0.727,0,0,0,1,0
111,Babblarnas vaggvisa,6,56,72,0.33299999999999996,0.299,1,0,0,1,0
112,Glimpse of Us,0,86,99,0.268,0.44,1,0,0,1,0
113,Never Really Loved Me (with Dean Lewis),0,79,76,0.218,0.614,1,0,0,1,0
114,MATADOR,6,56,71,0.735,0.878,0,0,0,1,0
115,Sista sommaren,6,61,68,0.772,0.5720000000000001,1,0,0,1,0
116,Komplicerat,6,59,70,0.38299999999999995,0.503,0,0,0,1,0
117,Lay All Your Love On Me - Spotify Singles,0,75,72,0.21,0.691,1,0,0,1,0
118,Tusen gånger om (feat. Newkid),6,55,68,0.428,0.6940000000000001,0,0,0,1,0
119,Hela världen är min,6,61,69,0.489,0.547,1,0,0,1,0
120,2step (feat. 1.Cuz),0,90,61,0.617,0.674,1,0,0,1,0
121,Numb,0,81,85,0.632,0.912,0,0,0,1,0
122,Bonaqua,6,50,68,0.9229999999999999,0.797,1,0,0,1,0
123,Hold Me Closer,6,57,74,0.168,0.489,1,0,0,1,0
124,MARIA,6,61,67,0.614,0.718,0,0,0,1,0
125,MANO,6,60,68,0.54,0.753,0,0,0,1,0
126,SUPA,6,51,64,0.52,0.7120000000000001,0,0,0,1,0
127,BREAK MY SOUL,0,83,91,0.853,0.687,0,0,0,1,0
128,Late Night Talking,0,93,95,0.9009999999999999,0.7140000000000001,1,0,0,1,0
129,Where Are You Now,0,77,92,0.262,0.6709999999999999,0,0,0,1,0
130,Heat Waves,0,80,91,0.531,0.7609999999999999,1,0,0,1,0
131,GET THE POINT,6,53,67,0.685,0.961,0,0,0,1,0
132,No One Dies From Love,0,74,76,0.34600000000000003,0.652,1,0,0,1,0
133,Välkommen in,6,65,67,0.629,0.625,1,0,0,1,0
134,Jag ska fånga en ängel,6,59,67,0.765,0.608,0,0,0,1,0
135,In The Stars,0,71,88,0.3,0.36200000000000004,1,0,0,1,0
136,In i dimman,6,54,64,0.733,0.629,0,0,0,1,0
137,Cold Heart - PNAU Remix,0,82,85,0.934,0.795,1,0,0,1,0
138,Bla bla (Intro),6,62,62,0.619,0.639,0,0,0,1,0
139,Pepas,0,84,78,0.442,0.762,1,0,0,1,0
140,Vi ska aldrig gå hem,6,60,65,0.655,0.7040000000000001,1,0,0,1,0
141,Shivers,0,90,90,0.8220000000000001,0.7879999999999999,1,0,0,1,0
142,Vidare,6,58,56,0.852,0.777,1,0,0,1,0
143,Djurens vaggvisa,6,58,67,0.451,0.743,1,0,0,1,0
144,"Sol, vind och vatten",6,59,65,0.336,0.44,1,0,0,1,0
145,Umbrella,6,49,57,0.669,0.878,0,0,0,1,0
146,Blitzkrieg 2022 - Drammen,6,57,69,0.7120000000000001,0.809,1,0,0,1,0
147,I Like You (A Happier Song) (with Doja Cat),0,89,92,0.47200000000000003,0.733,1,0,0,1,0
148,Glimpse of Us,1,86,99,0.268,0.44,1,0,0,0,1
149,As It Was,1,93,94,0.662,0.52,0,0,0,0,1
150,Jimmy Cooks (feat. 21 Savage),1,95,92,0.366,0.529,1,0,0,0,1
151,Me Porto Bonito,1,100,100,0.425,0.9109999999999999,0,0,0,0,1
152,LOOSE CHANGE,3,77,47,0.44,0.574,0,0,0,0,1
153,ALL MINE,3,77,44,0.22,0.617,1,0,0,0,1
154,Tití Me Preguntó,1,100,98,0.187,0.65,0,0,0,0,1
155,Vegas (From the Original Motion Picture Soundtrack ELVIS),1,89,90,0.74,0.8009999999999999,0,0,0,0,1
156,Master Of Puppets,1,81,81,0.56,0.5429999999999999,0,0,0,0,1
157,VILLAIN'S THEME,3,77,46,0.295,0.354,1,0,0,0,1
158,I Like You (A Happier Song) (with Doja Cat),1,89,92,0.47200000000000003,0.733,1,0,0,0,1
159,"GRAVITY (FEAT. TYLER, THE CREATOR)",3,77,42,0.491,0.541,0,0,0,0,1
160,First Class,1,85,85,0.332,0.902,0,0,0,0,1
161,PRICE OF FAME,3,77,41,0.174,0.428,1,0,0,0,1
162,About Damn Time,1,80,95,0.722,0.836,0,0,0,0,1
163,love.,3,80,35,0.344,0.574,1,0,0,0,1
164,WAIT FOR U (feat. Drake & Tems),1,87,91,0.33899999999999997,0.46299999999999997,1,0,0,0,1
165,Heat Waves,1,80,91,0.531,0.7609999999999999,1,0,0,0,1
166,HEAL YOUR HEART (INTERLUDE),3,77,44,0.204,0.287,0,0,0,0,1
167,Late Night Talking,1,93,95,0.9009999999999999,0.7140000000000001,1,0,0,0,1
168,I Ain't Worried,1,82,90,0.825,0.7040000000000001,1,0,0,0,1
169,Bad Habit,1,76,77,0.69,0.6859999999999999,1,0,0,0,1
170,GHETTO GATSBY (FEAT. ALICIA KEYS),3,77,43,0.585,0.524,0,0,0,0,1
171,Efecto,1,100,96,0.23399999999999999,0.8009999999999999,0,0,0,0,1
172,You Proof,1,83,84,0.644,0.731,1,0,0,0,1
173,ROLLING STONE,3,77,41,0.33399999999999996,0.462,0,0,0,0,1
174,Moscow Mule,1,100,97,0.292,0.804,0,0,0,0,1
175,Ojitos Lindos,1,100,98,0.268,0.647,0,0,0,0,1
176,Betty (Get Money),1,70,79,0.58,0.723,1,0,0,0,1
177,WASTING TIME (FEAT. DRAKE & THE NEPTUNES),3,77,40,0.374,0.44299999999999995,0,0,0,0,1
178,FYTB (FEAT. JOONY),3,77,41,0.364,0.7829999999999999,0,0,0,0,1
179,ADDICTIONS (FEAT. Tre' Amani),3,77,40,0.843,0.889,0,0,0,0,1
180,Sunroof,1,71,90,0.8420000000000001,0.768,1,0,0,0,1
181,DEAD MAN WALKING,3,77,36,0.435,0.51,0,0,0,0,1
182,SKIT: EGOMANIAC,3,77,41,0.613,0.56,1,0,0,0,1
183,Left and Right (Feat. Jung Kook of BTS),1,83,94,0.7190000000000001,0.8809999999999999,1,0,0,0,1
184,Paris to Tokyo,3,74,45,0.406,0.642,0,0,0,0,1
185,Party,1,100,95,0.47100000000000003,0.8290000000000001,1,0,0,0,1
186,BREAK MY SOUL,1,83,91,0.853,0.687,0,0,0,0,1
187,ROLE MODEL,3,77,40,0.335,0.606,0,0,0,0,1
188,Después de la Playa,1,100,93,0.607,0.564,1,0,0,0,1
189,Cash In Cash Out,1,80,85,0.154,0.877,1,0,0,0,1
190,JACKIE BROWN,3,77,39,0.503,0.726,1,0,0,0,1
191,Hot Shit (feat. Ye & Lil Durk),1,80,80,0.523,0.878,1,0,0,0,1
192,STAY (with Justin Bieber),1,83,88,0.478,0.591,1,0,0,0,1
193,Cooped Up (with Roddy Ricch),1,89,82,0.377,0.669,1,0,0,0,1
194,Something in the Orange,1,78,83,0.14800000000000002,0.369,0,0,0,0,1
195,No Role Modelz,1,84,88,0.494,0.69,0,0,0,0,1
196,The Kind of Love We Make,1,81,74,0.46399999999999997,0.608,1,0,0,0,1
