artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
Brent Faiyaz,04 HEAL YOUR HEART (INTERLUDE).wav,"[[2.5301356e-12 1.3185678e-04 4.3757115e-02 ... 2.9568537e+01
  3.0857414e+01 3.3921131e+01]
 [1.9604041e-12 2.6392491e-04 4.7278690e+00 ... 4.4068674e+02
  4.4469318e+02 4.4225531e+02]
 [7.7456097e-13 3.9611658e-04 2.2402153e+01 ... 1.7881592e+02
  1.9042326e+02 1.9171873e+02]
 ...
 [1.6010822e-14 6.3997752e-11 1.4033048e-09 ... 6.5107934e-06
  4.6462828e-06 3.2085338e-06]
 [1.3542319e-14 2.9637154e-11 1.4740253e-09 ... 3.5715497e-09
  2.0382670e-08 2.0459840e-08]
 [5.1670460e-14 1.6431781e-10 9.4065866e-10 ... 1.6528341e-09
  1.5715168e-09 1.9325239e-09]]",0.22213754,0.009915418,1665.0767959234345,1360384.2757262208,0.03116912369388545,0.00044618054332739925,30.0,114.84375
Brent Faiyaz,06 ALL MINE.wav,"[[7.48124826e-11 6.43143210e-08 8.05879608e-05 ... 1.03174915e+03
  9.85174805e+02 1.02327966e+03]
 [5.15118295e-11 7.32824788e-08 2.69579468e-04 ... 2.28220801e+03
  2.25661499e+03 2.28224658e+03]
 [1.23803433e-11 6.15164524e-08 1.13641273e-03 ... 2.29127213e+02
  2.21561813e+02 2.11923309e+02]
 ...
 [4.34201676e-12 1.45577739e-09 6.60338242e-11 ... 2.09701193e-05
  2.43813338e-05 2.17580455e-05]
 [1.67340360e-12 1.13325871e-09 5.65154624e-11 ... 1.14161578e-08
  5.69140397e-08 3.32102346e-08]
 [4.01576385e-12 1.30344624e-09 6.96078403e-11 ... 1.50804080e-09
  1.25656130e-09 1.72589998e-09]]",0.18940331,0.014983328,2278.5511528433485,263146.1207175692,0.030078805267995355,0.00030316541023155856,30.0,126.04801829268293
Brent Faiyaz,07 PRICE OF FAME.wav,"[[7.96061283e-14 2.76315776e-10 2.05781726e-06 ... 4.05362134e+03
  4.02880225e+03 3.79697510e+03]
 [5.93535908e-14 6.09371498e-10 5.17641092e-06 ... 4.14263623e+03
  4.19639404e+03 3.95635010e+03]
 [2.13090501e-14 4.98935004e-10 9.49410423e-06 ... 1.82551727e+02
  1.88169342e+02 1.82002548e+02]
 ...
 [6.20906914e-15 1.38407211e-11 1.23502680e-10 ... 1.26115491e-08
  6.65215865e-08 4.83192686e-09]
 [5.88859719e-15 1.24754426e-11 9.57626756e-11 ... 1.60050229e-09
  1.44538548e-09 1.36267331e-09]
 [5.40294788e-15 1.11635631e-11 7.94670094e-11 ... 1.61788427e-09
  1.76003090e-09 1.80511917e-09]]",0.17734161,0.03521408,1839.5020610513195,2506963.919260345,0.032868281975619196,0.0026808324646205458,30.0,99.38401442307692
Brent Faiyaz,10 ROLLING STONE.wav,"[[0.0000000e+00 0.0000000e+00 1.2784133e-08 ... 1.7357976e+03
  1.4621768e+03 1.5186482e+03]
 [0.0000000e+00 0.0000000e+00 4.1204380e-08 ... 2.1064045e+03
  1.9745281e+03 2.1036624e+03]
 [0.0000000e+00 0.0000000e+00 1.2921827e-08 ... 2.8873492e+02
  2.7363232e+02 2.9249298e+02]
 ...
 [0.0000000e+00 0.0000000e+00 2.7666508e-10 ... 6.8214416e-07
  1.9928966e-07 9.1843233e-08]
 [0.0000000e+00 0.0000000e+00 2.5352792e-10 ... 2.2634161e-09
  1.1282689e-09 1.7738736e-09]
 [0.0000000e+00 0.0000000e+00 1.7112474e-10 ... 1.6753954e-09
  1.4570232e-09 1.7124752e-09]]",0.23055206,0.016313247,1081.565132019163,1078450.2397409086,0.018792403371710526,0.00028522774463020785,30.0,129.19921875
Brent Faiyaz,13 DEAD MAN WALKING.wav,"[[0.00000000e+00 0.00000000e+00 1.02516005e-08 ... 3.75457275e-05
  2.93300345e-05 7.76559900e-05]
 [0.00000000e+00 0.00000000e+00 1.95931129e-08 ... 6.98977747e-05
  7.46749502e-05 1.61716016e-04]
 [0.00000000e+00 0.00000000e+00 2.16616307e-08 ... 3.42321931e-04
  6.72490787e-05 6.51054201e-04]
 ...
 [0.00000000e+00 0.00000000e+00 2.59324819e-11 ... 1.75592741e-05
  2.05664128e-05 7.04462844e-09]
 [0.00000000e+00 0.00000000e+00 1.42555317e-11 ... 6.13715443e-08
  1.91048088e-09 9.16942133e-10]
 [0.00000000e+00 0.00000000e+00 1.18532137e-11 ... 1.60068780e-09
  1.23807087e-09 1.44057766e-09]]",0.019358603,0.00017313802,3413.8808320016287,529421.6300885245,0.0854461953366873,0.0016613840596344442,30.0,126.04801829268293
Brent Faiyaz,15 ROLE MODEL.wav,"[[0.0000000e+00 1.5457900e-08 3.1363011e-06 ... 1.7179655e+03
  1.5761765e+03 5.5793140e+02]
 [0.0000000e+00 4.2675715e-08 2.1737869e-05 ... 2.4057141e+03
  1.3176223e+03 5.7225031e+02]
 [0.0000000e+00 4.5723294e-08 1.2047138e-05 ... 1.5620226e+02
  8.7956879e+01 3.3672337e+01]
 ...
 [0.0000000e+00 2.3124945e-11 9.4062858e-10 ... 1.2700541e-07
  3.2754411e-07 4.7486554e-07]
 [0.0000000e+00 2.9805134e-11 7.7842188e-10 ... 1.1454446e-09
  2.1502851e-09 1.8020135e-09]
 [0.0000000e+00 2.3157568e-11 8.6620799e-10 ... 1.1076225e-09
  1.5379024e-09 1.5237941e-09]]",0.22271402,0.01800982,2001.2006918564653,1256383.9137186569,0.02503801942240712,0.000450420535921686,30.0,93.96306818181819
Brent Faiyaz,16 JACKIE BROWN.wav,"[[8.69082367e-14 2.84133828e-09 3.78732608e-07 ... 2.38243341e-02
  1.51647534e-02 9.99626070e-02]
 [6.30917980e-14 6.92810964e-09 2.26940733e-06 ... 1.06213853e-01
  1.82888787e-02 3.09942186e-01]
 [2.11234194e-14 7.76565123e-09 7.95822245e-07 ... 1.06401496e-01
  3.30623388e-02 3.26900482e-01]
 ...
 [1.87446833e-14 3.56861207e-11 2.09108744e-10 ... 5.78217187e-05
  6.11981814e-05 4.72273496e-05]
 [1.76103943e-14 3.33437722e-11 2.37898728e-10 ... 3.94914963e-08
  1.84342213e-08 2.28326460e-08]
 [9.24953372e-15 2.28509867e-11 1.86639662e-10 ... 1.27304989e-09
  1.59780722e-09 1.26031408e-09]]",0.13516739,0.011643564,1224.240561245794,1623002.5793537607,0.023994563902863777,0.0006716813026620697,30.0,135.99917763157896
"Brent Faiyaz, Alicia Keys",08 GHETTO GATSBY (FEAT. ALICIA KEYS).wav,"[[1.1671107e-13 1.5226831e-10 1.7195332e-03 ... 2.4200752e-01
  6.8580501e-02 3.9348587e-02]
 [9.2670744e-14 1.7290452e-10 2.8776547e-03 ... 2.6212677e-01
  5.8774397e-02 3.9681189e-02]
 [3.8855407e-14 1.7020234e-10 3.7840181e-03 ... 1.3432677e-01
  4.8130304e-02 4.5287859e-02]
 ...
 [3.9940219e-14 6.8707338e-11 6.7766265e-11 ... 3.2660334e-06
  2.0666873e-06 1.6858155e-06]
 [3.5393580e-14 6.1922911e-11 7.7643468e-11 ... 1.9609101e-09
  1.8516364e-09 2.0513431e-09]
 [2.5641891e-14 4.9390072e-11 6.2449192e-11 ... 1.5347416e-09
  1.5775583e-09 1.7872257e-09]]",0.093710326,0.009665624,1306.8396693174584,2261347.8625327316,0.028780627176857584,0.0021648487737691634,30.0,109.95678191489361
"Brent Faiyaz, DJ Dahi, Tyler, The Creator","03 GRAVITY (FEAT. TYLER, THE CREATOR).wav","[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.9907172e-01
  1.2296101e+00 4.2820543e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.3993545e+00
  3.4217269e+00 2.0560117e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1784621e+01
  8.6878891e+00 9.3233957e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6452467e-09
  1.7864934e-09 1.4118793e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4007921e-09
  1.4007583e-09 2.0368298e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6204558e-09
  1.8949287e-09 1.5146087e-09]]",0.15511362,0.007403748,1929.840900295445,1058525.7596428413,0.0413704981375774,0.0009450027731191213,30.0,82.03125
"Brent Faiyaz, Drake, The Neptunes",09 WASTING TIME (FEAT. DRAKE & THE NEPTUNES).wav,"[[0.0000000e+00 0.0000000e+00 4.8154328e-11 ... 2.6535746e-02
  2.3341505e-02 7.6201446e-03]
 [0.0000000e+00 0.0000000e+00 8.9762059e-11 ... 1.4006056e-01
  3.2403800e-01 2.4961320e-01]
 [0.0000000e+00 0.0000000e+00 1.2750008e-10 ... 1.9185275e-01
  3.3952633e-01 1.7607830e-01]
 ...
 [0.0000000e+00 0.0000000e+00 1.2891764e-13 ... 1.5777821e-09
  1.2915216e-09 9.0157287e-10]
 [0.0000000e+00 0.0000000e+00 5.1662159e-14 ... 1.6495507e-09
  9.4443098e-10 1.0262826e-09]
 [0.0000000e+00 0.0000000e+00 1.0257983e-13 ... 1.1687035e-09
  1.0419985e-09 1.2189297e-09]]",0.08723323,0.003704801,1858.821081109587,1312268.8060279882,0.046756708954140865,0.0013223611851964979,30.0,120.18531976744185
