,artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
10,"De Vet Du, Bolaget",01 SUPA.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.7021511e-03
  3.0581094e-03 1.1832168e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5271214e-01
  7.1553335e-02 3.4744301e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.3854074e-01
  1.8574576e-01 6.2289804e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.8469113e-09
  1.5269322e-09 2.5773235e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3000423e-09
  1.1757018e-09 2.2978277e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.7260154e-09
  9.3690256e-10 2.2318449e-07]]",0.05846446,0.0020890504,3092.443674980451,1506769.4161390446,0.06570385005800464,0.06570385005800464,10.0,161.4990234375
11,E4an,01 Umbrella.wav,"[[1.4899284e-06 7.2803562e-07 2.3905699e-07 ... 3.8960020e-04
  1.0249256e-04 2.0451283e-03]
 [2.2599210e-08 4.4284562e-08 2.7239313e-08 ... 8.4621926e-05
  4.5063527e-04 4.5790304e-03]
 [1.0570430e-07 6.2184299e-08 7.6771542e-08 ... 5.8661906e-05
  2.6881875e-04 3.3564691e-03]
 ...
 [1.3830488e-09 1.8529707e-09 4.2221489e-09 ... 1.8448550e-07
  6.4288258e-08 2.4836820e-06]
 [1.1261745e-09 1.0895898e-09 1.2698120e-09 ... 2.1131754e-09
  2.3356335e-09 2.4200201e-06]
 [1.6561279e-09 1.2440824e-09 1.3528179e-09 ... 1.2738087e-09
  1.4659508e-09 2.3886907e-06]]",0.06555146,0.0014034731,1552.9604829570571,2069995.351040374,0.047918403784802784,0.047918403784802784,10.0,99.38401442307692
12,Ed Sheeran,02 Shivers.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.42499981e+01
  1.17021046e+01 1.07054462e+01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.62459106e+01
  5.87555084e+01 4.85479012e+01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.28107948e+01
  1.20488729e+01 1.13867588e+01]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.33096520e-07
  4.50508333e-06 1.45045458e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.24611665e-09
  4.57991582e-08 1.17232275e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.58166424e-09
  1.50843926e-09 3.40704553e-09]]",0.054733206,0.011935834,3032.446340347494,7393616.504266387,0.09876989377900232,0.09876989377900232,10.0,139.6748310810811
13,"Ed Sheeran, 1.Cuz",07 2step (feat. 1.Cuz).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4504807e-01
  1.3272639e-01 1.6288844e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.7456444e-01
  2.9453412e-01 1.0815834e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.9890647e+00
  5.2395473e+00 5.4457903e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.0938779e-09
  1.3508090e-06 1.8056038e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3616346e-09
  2.9449914e-09 4.4680100e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0029153e-09
  1.6420691e-09 4.3211649e-08]]",0.10293372,0.0014801092,2426.8601816681735,2549109.5437988634,0.056539796621229696,0.056539796621229696,10.0,126.04801829268293
14,Einár,01 Lilla Nisse.wav,"[[2.3015314e-06 1.2390413e-05 7.2520860e-03 ... 8.8402882e-02
  1.3648882e+00 4.4544439e+00]
 [5.1714678e-06 6.3941450e-05 3.5602454e-02 ... 2.9531407e-01
  4.5682797e+00 5.5006509e+00]
 [4.2366605e-06 2.9303899e-04 2.6687643e-01 ... 1.1509634e+00
  7.1380582e+00 5.5818176e+00]
 ...
 [5.4960299e-08 1.2671883e-07 6.9510179e-07 ... 8.3511450e-06
  3.7688133e-05 8.0848084e-05]
 [1.9297535e-09 1.9924227e-09 6.0465601e-09 ... 4.0804775e-08
  6.4950267e-09 1.9888945e-07]
 [2.1456255e-09 1.5784045e-09 1.5250806e-09 ... 1.2338108e-09
  1.4621166e-09 1.1229948e-07]]",0.016753599,0.00018293053,2376.6706475130873,616398.920961368,0.044154899579466354,0.044154899579466354,10.0,126.04801829268293
15,Einár (1),03 Koppla av.wav,"[[1.1031377e-06 2.6529497e-07 5.5241413e-05 ... 2.7705465e-02
  2.1318926e-02 1.6585654e-02]
 [7.5471320e-07 8.8353346e-07 9.0388255e-04 ... 4.0305968e-02
  5.1583335e-02 1.2376442e-01]
 [1.0915309e-07 2.2797763e-06 5.4326644e-03 ... 2.4108729e+00
  2.6478817e+00 2.0037181e+00]
 ...
 [1.7324203e-09 1.2179483e-07 4.6488552e-07 ... 2.0874656e-07
  1.6549055e-07 1.5351345e-07]
 [1.6353627e-09 1.3380096e-09 1.7339424e-09 ... 1.2717756e-09
  1.5952797e-09 6.4756499e-08]
 [1.6960308e-09 1.1907761e-09 1.2132068e-09 ... 1.2061289e-09
  1.0270003e-09 6.3663030e-08]]",0.071337886,0.0010814649,1776.0128959613378,1346054.7887450221,0.02863752537703016,0.02863752537703016,10.0,132.51201923076923
16,"Elov & Beny, Sofie Svensson & Dom Där",01 BUBBEL PÅ BALKONGEN.wav,"[[0.0000000e+00 6.8526711e-13 2.6411870e-10 ... 4.0781951e+00
  3.0275057e+01 6.4003693e+01]
 [0.0000000e+00 7.6394913e-13 1.2940035e-09 ... 6.3144093e+01
  1.6587730e+02 1.3081506e+02]
 [0.0000000e+00 7.0014220e-13 9.3267749e-10 ... 8.0225883e+01
  3.7504929e+01 1.3181529e+01]
 ...
 [0.0000000e+00 7.4790732e-13 9.4251565e-11 ... 1.4641806e-09
  1.5954688e-09 6.6776309e-09]
 [0.0000000e+00 7.4811034e-13 1.1067048e-10 ... 1.4555470e-09
  1.5620428e-09 5.8734324e-09]
 [0.0000000e+00 7.4796099e-13 1.1424783e-10 ... 1.3539911e-09
  1.2983710e-09 5.3287503e-09]]",0.0982846,0.0018179421,2545.2990774420014,2807014.520175362,0.04044350891821346,0.04044350891821346,10.0,129.19921875
17,"Elton John, Dua Lipa, PNAU",01 Cold Heart - PNAU Remix.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.3529605e-04
  8.2558143e-04 1.9223314e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2177699e-03
  3.9681313e-03 3.6277163e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.7818681e-04
  1.3115731e-03 3.9296219e-04]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.6148323e-10
  6.0105858e-09 2.1341557e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0315947e-09
  3.5021370e-09 2.0183359e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.7376088e-09
  3.3320597e-09 1.9746813e-06]]",0.017374333,0.00014638816,3317.3032219666325,2136671.529293246,0.0868154999274942,0.0868154999274942,10.0,114.84375
18,Farruko,03 Pepas.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6653785e-02
  9.5365688e-02 2.8630623e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.5072519e-03
  1.2636141e-01 6.3699824e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2735659e-02
  8.9574955e-02 4.2501235e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.3961975e-05
  1.1123504e-05 5.9209128e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.7118772e-09
  5.2642144e-09 1.1066744e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2028035e-09
  1.4588982e-09 1.0302520e-06]]",0.16377842,0.013897346,1537.6646956878033,4875396.626907221,0.02402774253190255,0.02402774253190255,10.0,129.19921875
19,Glass Animals,14 Heat Waves.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9132323e-05
  3.8979455e-05 3.5041145e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9729954e-05
  6.3619853e-05 4.0182713e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.5166278e-05
  3.9553073e-05 4.1145924e-03]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.9361831e-08
  1.3107246e-08 1.3315586e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4128491e-09
  1.2413207e-09 2.5421099e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6627237e-09
  1.7402132e-09 2.0230877e-09]]",0.022089824,0.000109550085,1172.5511560261475,835956.0069106045,0.029072560179814386,0.029072560179814386,10.0,161.4990234375
