artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
"Anirudh Ravichander, Jonita Gandhi",01 Private Party (From _Don_).wav,"[[6.66520061e-10 3.75452146e-07 3.94644667e-05 ... 8.82374763e-04
  3.93519818e-04 7.87052093e-04]
 [4.59979665e-10 4.54384519e-07 4.28810126e-05 ... 1.12555856e-04
  1.21865618e-04 5.77721559e-03]
 [5.85731533e-11 1.57342981e-07 1.47570081e-05 ... 3.74638883e-04
  2.50143959e-04 4.64130053e-03]
 ...
 [2.07072096e-10 5.33749211e-10 2.10871409e-09 ... 5.00718267e-09
  3.33807337e-09 2.93775138e-09]
 [1.75697262e-10 6.86556312e-10 1.89229521e-09 ... 2.34915243e-09
  2.79460810e-09 3.33902239e-09]
 [2.38510350e-10 5.46120149e-10 2.86648749e-09 ... 2.05323158e-09
  2.72032330e-09 3.48872731e-09]]",0.1018684,0.00419207,3447.3590999580833,1613860.9458351692,0.06640436036667957,0.0017276402561749752,30.0,123.046875
"Anirudh Ravichander, Kamal Haasan",01 Pathala Pathala (From _Vikram_).wav,"[[6.0896355e-10 2.6646556e-09 2.6837916e-09 ... 1.2354478e+03
  6.8817615e+02 1.3454276e+03]
 [4.3366732e-10 2.5730156e-11 1.6542182e-10 ... 1.0828093e+03
  5.1865619e+02 1.3622667e+03]
 [5.0293401e-11 1.3885056e-11 5.6735682e-11 ... 2.6151349e+02
  7.5962976e+02 2.2595747e+02]
 ...
 [1.6990900e-10 2.8990507e-10 9.2739660e-10 ... 8.4301686e-09
  3.1821643e-09 3.3613938e-09]
 [1.3879890e-10 3.1813863e-10 1.2435116e-09 ... 7.9360039e-09
  5.2766436e-09 3.9824286e-09]
 [1.7521938e-10 3.8501913e-10 1.2107696e-09 ... 5.9814549e-09
  3.7810346e-09 3.7869974e-09]]",0.18402153,0.015394327,3093.852045754502,2561128.0494266124,0.06865415779798761,0.004914735696294946,30.0,129.19921875
"Anirudh Ravichander, Rokesh",01 Jalabulajangu (From _Don_).wav,"[[4.1436571e-10 2.0578950e-09 2.5817775e-09 ... 1.0266273e-01
  3.3283357e-02 4.3411225e-02]
 [2.6591473e-10 1.7712831e-11 4.7956188e-11 ... 1.1434492e+00
  7.5263846e-01 2.7929524e-01]
 [3.5551825e-11 1.6495666e-11 2.4847862e-11 ... 1.8506063e+01
  4.1242952e+00 7.2923690e-01]
 ...
 [1.3966037e-10 4.1293469e-10 8.5347596e-10 ... 3.4543932e-09
  3.2970049e-09 2.3979456e-09]
 [1.4492160e-10 4.4347689e-10 8.1002938e-10 ... 3.6399357e-09
  4.1407757e-09 2.4688818e-09]
 [2.0077615e-10 5.1011634e-10 8.1182788e-10 ... 3.5754364e-09
  3.0677079e-09 4.4305586e-09]]",0.20480935,0.013250218,2958.4599292001362,2039682.2472217607,0.06254006022639319,0.002550883799404842,30.0,151.99908088235293
BTS,01 Run BTS.wav,"[[4.63303115e-13 8.96589331e-11 5.82556725e-10 ... 6.52811401e+02
  2.97813141e+02 9.64543396e+02]
 [1.59893398e-12 6.18175372e-11 3.01428119e-11 ... 4.40907440e+02
  1.47395706e+02 4.63408081e+02]
 [7.24926304e-13 1.62934631e-11 1.04391894e-11 ... 2.41928730e+01
  1.27098322e+01 1.65925407e+01]
 ...
 [1.09190706e-12 2.73889071e-11 1.84960061e-10 ... 3.46434170e-09
  3.98562205e-09 5.57793146e-06]
 [1.09295418e-12 2.33765941e-11 2.08395134e-10 ... 2.83569124e-09
  4.44337989e-09 5.36766447e-06]
 [1.09234616e-12 3.21861288e-11 1.89484983e-10 ... 3.54789176e-09
  2.88430169e-09 5.28921510e-06]]",0.23536104,0.019969944,3195.3992558497407,2657592.1753756944,0.06770858528444272,0.0027167831944505663,30.0,103.359375
"Charlie Puth, BTS, Jung Kook",01 Left and Right (Feat. Jung Kook of BTS).wav,"[[0.0000000e+00 4.0452419e-10 7.6411645e-08 ... 6.7270984e+02
  7.6109851e+02 2.9724280e+02]
 [0.0000000e+00 1.3981005e-10 4.6495182e-07 ... 1.8887777e+03
  4.7121301e+02 6.1531427e+02]
 [0.0000000e+00 6.7591641e-11 1.2020080e-06 ... 5.3806451e+02
  2.2423320e+02 3.1533200e+02]
 ...
 [0.0000000e+00 9.4454639e-11 1.7645354e-09 ... 1.6087856e-06
  7.2635025e-08 1.7662026e-07]
 [0.0000000e+00 8.9500379e-11 1.4999122e-09 ... 3.2307028e-07
  1.3180220e-07 3.2240882e-07]
 [0.0000000e+00 9.2876977e-11 1.0465889e-09 ... 6.1488885e-07
  9.8846385e-08 2.4431500e-07]]",0.21466953,0.015608145,2074.44276728836,1843465.6132867355,0.03884027912151703,0.0013093159287863158,30.0,101.33272058823529
"Dhibu Ninan Thomas, Kapil Kapilan",01 Adiye - From _Bachelor.wav,"[[0.0000000e+00 0.0000000e+00 1.6041678e-10 ... 4.2501245e-02
  1.6573438e-01 5.5218946e-02]
 [0.0000000e+00 0.0000000e+00 5.4570268e-11 ... 2.1045175e+00
  1.4207867e+00 7.6047266e-01]
 [0.0000000e+00 0.0000000e+00 1.1861453e-11 ... 4.5050983e+00
  2.3351367e+00 1.1198862e+00]
 ...
 [0.0000000e+00 0.0000000e+00 2.1911351e-11 ... 3.6020829e-09
  3.3155385e-09 2.4938460e-09]
 [0.0000000e+00 0.0000000e+00 2.1956902e-11 ... 3.5434815e-09
  2.8572673e-09 2.8911826e-09]
 [0.0000000e+00 0.0000000e+00 3.1284576e-11 ... 2.9061271e-09
  4.0382608e-09 2.7261560e-09]]",0.087824434,0.0064840685,3889.5125108737393,8818945.545555277,0.10295440390383127,0.011030375066095952,30.0,120.18531976744185
Dikshant,01 Aankhon Se Batana.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.13375788e+01
  8.82353973e+00 4.68184710e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.98452492e+01
  3.16679783e+01 1.00293106e+02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.69438629e+01
  4.29280510e+01 1.59342621e+02]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.43212414e-09
  2.65952438e-09 3.43831275e-09]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.06618694e-09
  2.14381557e-09 3.17753823e-09]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.49142121e-09
  2.54164068e-09 3.33201244e-09]]",0.07646354,0.0022254412,1487.6844276923493,795556.7739803857,0.028103760521478328,0.0004836005093119456,30.0,120.18531976744185
Elley Duhé,01 MIDDLE OF THE NIGHT.wav,"[[0.0000000e+00 0.0000000e+00 3.5016898e-14 ... 5.4290062e-01
  1.0438573e+00 2.7645319e+00]
 [0.0000000e+00 0.0000000e+00 4.0968131e-14 ... 1.0462464e+01
  1.1944800e+01 1.9508705e+01]
 [0.0000000e+00 0.0000000e+00 3.7259285e-14 ... 6.6848465e+01
  8.1602074e+01 1.3137178e+02]
 ...
 [0.0000000e+00 0.0000000e+00 3.8617401e-14 ... 3.9628101e-09
  3.0070488e-09 3.4871914e-09]
 [0.0000000e+00 0.0000000e+00 3.8618705e-14 ... 3.8709724e-09
  2.2657032e-09 2.4534728e-09]
 [0.0000000e+00 0.0000000e+00 3.8618722e-14 ... 4.7334696e-09
  2.5050191e-09 3.0463252e-09]]",0.16575247,0.0053685745,2571.827773748589,1493980.0939058978,0.04119702979876161,0.0010844966708002121,30.0,123.046875
Glass Animals,14 Heat Waves.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.5479393e-01
  6.6582787e-01 1.0950622e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4016559e+00
  4.1306205e+00 4.3336487e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.1802227e+01
  9.6410660e+01 1.7144359e+02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.9857232e-07
  3.5155634e-09 2.9657865e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1201147e-06
  3.4560239e-09 4.6192836e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.7547179e-07
  3.3315768e-09 3.5992771e-09]]",0.14971617,0.0320349,1426.473047008275,1339520.1455247588,0.028091666868227554,0.0005549719641667048,30.0,161.4990234375
Harry Styles,04 As It Was.wav,"[[4.63303115e-13 8.96589331e-11 5.82556725e-10 ... 2.33262062e+00
  1.55895936e+00 5.45753539e-01]
 [1.59893398e-12 6.18175372e-11 3.01428119e-11 ... 6.16250086e+00
  6.51968241e+00 3.37673807e+00]
 [7.24926304e-13 1.62934631e-11 1.04391894e-11 ... 5.11856079e+01
  1.10709221e+02 1.11597496e+02]
 ...
 [1.09190706e-12 2.73889071e-11 1.84960061e-10 ... 2.92756730e-09
  2.75463163e-09 3.06532755e-09]
 [1.09295418e-12 2.33765941e-11 2.08395134e-10 ... 2.70481371e-09
  3.64335317e-09 3.62468411e-09]
 [1.09234616e-12 3.21861288e-11 1.89484983e-10 ... 3.03982683e-09
  3.36387740e-09 3.02004510e-09]]",0.27400434,0.021985978,2700.140608889901,2759529.6255824626,0.047528057275541796,0.0013018065685223988,30.0,114.84375
